,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
69,-0.1,-1,-1,1697637872,False,1,3a1ef659,2023-10-18_14-04-32,1.5930509567260742,1.5930509567260742,14063,ff5996df3739,172.17.0.2,1.5930509567260742,1,,128,4,12,337,218,6.646826164173718e-05,3.2142531304028306e-06,3a1ef659
70,-0.1,-1,-1,1697637873,False,1,0b6f6144,2023-10-18_14-04-33,1.416524887084961,1.416524887084961,14063,ff5996df3739,172.17.0.2,1.416524887084961,1,,256,4,17,98,89,2.625424015853209e-05,7.273133537457866e-06,0b6f6144
71,-0.1,-1,-1,1697637875,False,1,ed0ca04b,2023-10-18_14-04-35,1.7275390625,1.7275390625,14063,ff5996df3739,172.17.0.2,1.7275390625,1,,256,3,4,235,327,5.098824161161723e-05,9.044102914326561e-06,ed0ca04b
72,-0.1,-1,-1,1697637877,False,1,be618cde,2023-10-18_14-04-37,1.587768793106079,1.587768793106079,14063,ff5996df3739,172.17.0.2,1.587768793106079,1,,128,4,5,274,253,0.00011946007525059345,1.2661610185439757e-06,be618cde
73,-0.1,-1,-1,1697637878,False,1,9a23dd4c,2023-10-18_14-04-38,1.485215187072754,1.485215187072754,14063,ff5996df3739,172.17.0.2,1.485215187072754,1,,128,7,6,366,50,1.2039647897376002e-05,9.456456443770163e-06,9a23dd4c
74,-0.1,-1,-1,1697637881,False,1,c2168da0,2023-10-18_14-04-41,1.579857587814331,1.579857587814331,14063,ff5996df3739,172.17.0.2,1.579857587814331,1,,128,8,9,377,298,1.4358607857343718e-05,2.530081808081151e-06,c2168da0
75,-0.1,-1,-1,1697637882,False,1,ffac8341,2023-10-18_14-04-42,1.546755075454712,1.546755075454712,14063,ff5996df3739,172.17.0.2,1.546755075454712,1,,64,6,16,129,179,0.0002887880081673918,4.453823137029066e-06,ffac8341
76,-0.1,-1,-1,1697637890,False,1,a614adf9,2023-10-18_14-04-50,1.533715009689331,1.533715009689331,14063,ff5996df3739,172.17.0.2,1.533715009689331,1,,64,6,15,178,211,0.0002930462347668,3.606835222548524e-06,a614adf9
77,-0.1,-1,-1,1697637892,False,1,468f2cf6,2023-10-18_14-04-52,1.5290391445159912,1.5290391445159912,14063,ff5996df3739,172.17.0.2,1.5290391445159912,1,,64,7,16,147,190,0.0002401064409287324,6.1647266479451255e-06,468f2cf6
78,-0.1,-1,-1,1697637893,False,1,961e66d4,2023-10-18_14-04-53,1.5797877311706543,1.5797877311706543,14063,ff5996df3739,172.17.0.2,1.5797877311706543,1,,256,6,13,249,144,0.00014186690902200279,8.109609077266263e-06,961e66d4
79,-0.1,-1,-1,1697637895,False,1,ac294154,2023-10-18_14-04-55,1.4857454299926758,1.4857454299926758,14063,ff5996df3739,172.17.0.2,1.4857454299926758,1,,256,5,7,184,128,0.00038570728169458584,8.481537341893041e-06,ac294154
80,-0.1,-1,-1,1697637898,False,1,17f37fcb,2023-10-18_14-04-58,1.608595371246338,1.608595371246338,14063,ff5996df3739,172.17.0.2,1.608595371246338,1,,256,5,13,326,152,0.0004139318990359985,7.677891116230391e-06,17f37fcb
81,-0.1,-1,-1,1697637900,False,1,3496a3f6,2023-10-18_14-05-00,1.6231744289398193,1.6231744289398193,14063,ff5996df3739,172.17.0.2,1.6231744289398193,1,,128,7,8,204,81,0.000519724283221401,9.90822822135763e-06,3496a3f6
82,-0.1,-1,-1,1697637902,False,1,1f210ff3,2023-10-18_14-05-02,1.526848554611206,1.526848554611206,14063,ff5996df3739,172.17.0.2,1.526848554611206,1,,64,6,16,124,172,0.00018889490990332356,5.855727193808414e-06,1f210ff3
83,-0.1,-1,-1,1697637903,False,1,8a0ed12a,2023-10-18_14-05-03,1.5331604480743408,1.5331604480743408,14063,ff5996df3739,172.17.0.2,1.5331604480743408,1,,256,7,14,266,231,0.00016893943777007936,6.895211635332432e-06,8a0ed12a
84,-0.1,-1,-1,1697637905,False,1,339c5493,2023-10-18_14-05-05,1.5230042934417725,1.5230042934417725,14063,ff5996df3739,172.17.0.2,1.5230042934417725,1,,128,8,14,307,312,8.023392834189706e-05,5.490201779473909e-06,339c5493
85,-0.1,-1,-1,1697637906,False,1,0c65f193,2023-10-18_14-05-06,1.4411957263946533,1.4411957263946533,14063,ff5996df3739,172.17.0.2,1.4411957263946533,1,,64,8,17,112,268,0.0008719516266258298,4.731747819342629e-06,0c65f193
86,-0.1,-1,-1,1697637909,False,1,2b6c335c,2023-10-18_14-05-09,1.528108835220337,1.528108835220337,14063,ff5996df3739,172.17.0.2,1.528108835220337,1,,128,6,19,153,261,0.000562677995535384,3.8615361416473296e-07,2b6c335c
87,-0.1,-1,-1,1697637910,False,1,37c2f4c8,2023-10-18_14-05-10,1.4554147720336914,1.4554147720336914,14063,ff5996df3739,172.17.0.2,1.4554147720336914,1,,128,6,3,88,114,0.0006359155793012913,1.269236614620423e-06,37c2f4c8
88,-0.1,-1,-1,1697637922,False,1,21fcf4c1,2023-10-18_14-05-22,1.4918262958526611,1.4918262958526611,14063,ff5996df3739,172.17.0.2,1.4918262958526611,1,,128,5,2,286,161,0.0007755274400431418,2.797337735550051e-06,21fcf4c1
